New+York%2C+New+York
Los+Angeles%2C+California
Chicago%2C+Illinois
Houston%2C+Texas
Phoenix%2C+Arizona
Philadelphia%2C+Pennsylvania
San+Antonio%2C+Texas
San+Diego%2C+California
Dallas%2C+Texas
San+Jose%2C+California
